metric,value
raw_records,333
raw_missing_published_at,0
raw_missing_summary,10
raw_city_hint_null_before_detect,56
normalized_missing_city_after_detect,58
city_detected_or_retained,275
unrelated_records,8
events_after_semantic_dedup,168
events_removed_by_semantic_dedup,165
model_eligible_records_before_dedup,257
model_eligible_events_after_dedup,129
event_category.accident,121
event_category.roadwork_active,66
event_category.weather_disruption,46
event_category.congestion,32
event_category.flood,26
event_category.infrastructure_planning,16
event_category.planned_event,12
event_category.unrelated,8
event_category.airport,4
event_category.enforcement,2
city.hanoi,69
city.hcmc,68
city.missing,58
city.dongnai,22
city.gialai,12
city.quangninh,12
city.hatinh,10
city.hungyen,8
city.haiphong,8
city.tayninh,6
city.daklak,6
city.quangtri,6
city.ninhbinh,6
city.hue,5
city.bacninh,4
city.danang,4
city.nghean,4
city.quangngai,4
city.khanhhoa,4
city.cantho,4
city.lamdong,3
city.vungtau,2
city.laocai,2
city.thanhhoa,2
city.camau,2
city.angiang,1
city.dongthap,1
severity_score.0,8
severity_score.1,8
severity_score.2,102
severity_score.3,112
severity_score.4,34
severity_score.5,69
event_time_confidence.high,333
